,bus,rail_boardings,total_rides,is_sat,is_holi,avg_precip,temp_mid,temp_rng,temp_bs,hum_mid,hum_rng,wind_mid,wind_rng,pres_mid,pres_rng
2001-05-18,1027834,628829,1656663,0,0,0.01,66.5,13,0.5,49.5,57,11.5,13,29.82,0.17999999999999972
2001-05-19,645603,315487,961090,1,0,0.0,64.0,18,0.0,48.0,38,8.5,9,29.915,0.07000000000000028
2001-05-20,427040,217899,644939,0,1,0.0,68.0,22,-1.0,48.5,37,8.0,16,29.72,0.3200000000000003
2001-05-21,958236,590204,1548440,0,0,0.0,63.0,16,1.0,77.0,46,15.5,17,29.505000000000003,0.2699999999999996
2001-05-22,1019568,637152,1656720,0,0,0.0,55.5,15,-0.5,59.5,47,14.0,18,29.689999999999998,0.120000000000001
2001-05-23,978614,619656,1598270,0,0,0.0,54.0,16,0.0,67.5,51,10.0,20,29.655,0.129999999999999
2001-05-24,973423,615727,1589150,0,0,0.0,53.5,15,0.5,72.0,44,9.0,18,29.735,0.129999999999999
2001-05-25,988982,597892,1586874,0,0,0.0,54.0,12,0.0,74.0,46,5.0,10,29.795,0.05000000000000071
2001-05-26,512958,269276,782234,1,0,0.0,51.5,11,0.5,86.0,28,10.5,21,29.674999999999997,0.2699999999999996
2001-05-27,390535,208208,598743,0,1,0.0,54.5,9,-0.5,83.0,22,8.5,17,29.715,0.22999999999999687
2001-05-28,392906,191639,584545,0,1,0.0,59.0,14,0.0,78.0,38,4.5,9,29.89,0.16000000000000014
2001-05-29,1003029,595375,1598404,0,0,0.0,58.0,12,0.0,64.5,57,9.0,18,30.07,0.20000000000000284
2001-05-30,1002940,607442,1610382,0,0,0.0,53.0,14,0.0,53.5,47,10.0,8,30.185,0.07000000000000028
2001-05-31,965359,602748,1568107,0,0,0.69,56.5,11,-0.5,74.0,52,13.0,14,29.9,0.4800000000000004
2001-06-01,1057056,611631,1668687,0,0,0.24,57.0,14,0.0,78.0,44,10.0,20,29.575,0.21000000000000085
